"store_code","store_name","province_kh","district_en","district_kh","latitude","longitude","raw_delivery_store"
"BANA001","Chamnaom","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","13.437565","102.934632","BANA001 - Chamnaom"
"BANA002","Paoy Paet","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","13.682498","102.564968","BANA002 - Paoy Paet"
"BANA003","Preah Punlea","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.59106","102.973797","BANA003 - Preah Punlea"
"BANA004","Sen Sreynak","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.646559","102.590885","BANA004 - Sen Sreynak"
"BANA005","Ou Ruessei","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.69538","102.651888","BANA005 - Ou Ruessei"
"BANA006","Roluos","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","13.80385","102.96445","BANA006 - Roluos"
"BANA007","Seng","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.410764","103.017448","BANA007 - Seng - Sovannary"
"BANA008","Paoy Char","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.774137","103.313281","BANA008 - Paoy Char"
"BANA009","Chub Vari","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.623668","103.182027","BANA009 - Chub Vari"
"BANA010","Banteay Chhmar","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","12.252597","105.977067","BANA010 - Banteay Chhmar"
"BANA011","Kampong Svay","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.600802","102.967587","BANA011 - Kampong Svay"
"BANA012","Malai","បន្ទាយមានជ័យ","Malai","ម៉ាឡៃ","13.566301","102.364078","BANA012 - Malai"
"BANA013","Thma Puok","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","13.941231","103.049339","BANA013 - Thma Puok"
"BANA014","Koub","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","13.608353","102.764872","BANA014 - Koub"
"BANA015","Changha","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","13.647113","102.886313","BANA015 - Changha"
"BANA016","Phnum Lieb","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","13.605432","103.312393","BANA016 - Phnum Lieb"
"BANA017","Punley","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.76928","103.22615","BANA017 - Punley"
"BANA018","Sla Kram","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","13.832156","102.833294","BANA018 - Sla Kram"
"BANA020","Banteay Neang","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","13.515097","103.017095","BANA020 - Banteay Neang"
"BANP001","Serei Saophoan","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.59572","102.97069","BANP001 - Serei Saophoan"
"BANS001","Ou Ambel","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","13.5852101","102.9724208","BANS001 - Ou Ambel"
"BANS002","Paoy Paet","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","13.65887","102.554344","BANS002 - Paoy Paet"
"BANS003","Thma Puok","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","13.9413014","103.049302","BANS003 - Thma Puok"
"BANS004","Srah Chik","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំ","13.74387","103.33588","BANS004 - Srah Chik"
"BATA001","Chomkar Somraong","បាត់ដំបង","Battambang","បាត់ដំបង","13.129832","103.198146","BATA001 - Chomkar Somraong"
"BATA002","Kampong Prieng","បាត់ដំបង","Sangkae","សង្កែ","12.9489","103.3383","BATA002 - Kampong Prieng"
"BATA003","Phnum Sampov","បាត់ដំបង","Banan","បាណន់","13.0296","103.1009","BATA003 - Phnum Sampov"
"BATA004","Vaot Ta Muem 01","បាត់ដំបង","Sangkae","សង្កែ","13.0627","103.2032","BATA004 - Vaot Ta Muem 01"
"BATA005","Thorn Sovannithida","បាត់ដំបង","Battambang","បាត់ដំបង","13.09573","103.190527","BATA005 - Thorn Sovannithida"
"BATA006","Moung","បាត់ដំបង","Moung Ruessei","មោងឫស្សី","12.775837","103.448387","BATA006 - Moung"
"BATA007","Snoeng","បាត់ដំបង","Banan","បាណន់","12.9784","103.0544","BATA007 - Snoeng"
"BATA008","Vaot Ta Muem 02","បាត់ដំបង","Sangkae","សង្កែ","13.03679","103.20173","BATA008 - Vaot Ta Muem 02"
"BATA009","REM SOCHEA","បាត់ដំបង","Battambang","បាត់ដំបង","13.265685","102.945134","BATA009 - REM SOCHEA"
"BATA010","Santepheap","បាត់ដំបង","Sampov Lun","សំពៅលូន","13.432283","102.366176","BATA010 - Santepheap"
"BATA011","Boeng Reang","បាត់ដំបង","Kamrieng","កំរៀង","13.087139","102.446107","BATA011 - Boeng Reang"
"BATA012","Bour","បាត់ដំបង","Phnum Proek","ភ្នំព្រឹក","13.283736","102.615651","BATA012 - Bour"
"BATA013","Pech Chenda 01","បាត់ដំបង","Phnum Proek","ភ្នំព្រឹក","13.222725","102.391644","BATA013 - Pech Chenda 01"
"BATA014","Pech Chenda 02","បាត់ដំបង","Phnum Proek","ភ្នំព្រឹក","13.2117","102.532803","BATA014 - Pech Chenda 02"
"BATA015","Sdok Pravoek","បាត់ដំបង","Rukh Kiri","រុក្ខគិរី","12.603483","103.490935","BATA015 - Sdok Pravoek"
"BATA016","Ta Kream","បាត់ដំបង","Banan","បាណន់","13.090324","103.023334","BATA016 - Ta Kream"
"BATA017","Ta Sanh","បាត់ដំបង","Samlout","សំឡូត","12.616636","102.858967","BATA017 - Ta Sanh"
"BATA018","Kampong Lpov","បាត់ដំបង","Samlout","សំឡូត","12.543875","102.865274","BATA018 - Kampong Lpov"
"BATA019","Traeng","បាត់ដំបង","Thma Koul","ថ្មគោល","12.832975","102.894727","BATA019 - Traeng"
"BATA021","Preaek Chik","បាត់ដំបង","Rukh Kiri","រុក្ខគិរី","12.651708","103.396619","BATA021 - Preaek Chik"
"BATA022","Bavel","បាត់ដំបង","Bavel","បវេល","13.256093","102.875914","BATA022 - Bavel"
"BATA023","Chrey","បាត់ដំបង","Thma Koul","ថ្មគោល","13.112873","103.136953","BATA023 - Chrey"
"BATA024","Boeng Pring","បាត់ដំបង","Thma Koul","ថ្មគោល","13.366959","103.034112","BATA024 - Boeng Pring"
"BATA025","Ta Pung","បាត់ដំបង","Thma Koul","ថ្មគោល","13.264179","103.089398","BATA025 - Ta Pung"
"BATA026","Svay Por","បាត់ដំបង","Battambang","បាត់ដំបង","13.0859","103.1988","BATA026 - Svay Por"
"BATA027","Ou Ta Ki","បាត់ដំបង","Thma Koul","ថ្មគោល","13.167237","103.112915","BATA027 - Ou Ta Ki"
"BATA028","Ta Sda","បាត់ដំបង","Sampov Lun","សំពៅលូន","13.404488","102.455575","BATA028 - Ta Sda"
"BATA029","Thipakdei","បាត់ដំបង","Koas Krala","គាស់ក្រឡ","12.856523","103.26872","BATA029 - Thipakdei"
"BATA030","Prey Svay","បាត់ដំបង","Moung Ruessei","មោងឫស្សី","12.713477","103.544657","BATA030 - Prey Svay"
"BATA032","Sdau","បាត់ដំបង","Thma Koul","ថ្មគោល","12.891503","102.973863","BATA032 - Sdau"
"BATA033","Ampil Pram Daeum","បាត់ដំបង","Bavel","បវេល","13.260059","102.767866","BATA033 - Ampil Pram Daeum"
"BATA034","Ou Char","បាត់ដំបង","Battambang","បាត់ដំបង","13.1076","103.1755","BATA034 - Ou Char"
"BATA035","Anlung Vil","បាត់ដំបង","Battambang","បាត់ដំបង","13.0624","103.2563","BATA035 - Anlung Vil"
"BATA036","Vaot Ta Muem","បាត់ដំបង","Sangkae","សង្កែ","13.01234","103.187065","BATA036 - Vaot Ta Muem"
"BATA037","Peam Aek","បាត់ដំបង","Aek Phnum","ឯកភ្នំ","13.161","103.2086","BATA037 - Peam Aek"
"BATA038","Prey Khpos","បាត់ដំបង","Bavel","បវេល","13.347834","102.905611","BATA038 - Prey Khpos"
